"iet_name";"iet_istypedby";"isc_name";"isc_version"
IfcCrewResource;IfcCrewResourceType;IFC4X3_ADD1;"4.3.1.0"
IfcCurtainWall;IfcCurtainWallType;IFC4X3_ADD1;"4.3.1.0"
IfcDuctSilencer;IfcDuctSilencerType;IFC4;"4.0.2.1"
IfcDeepFoundation;IfcDeepFoundationType;IFC4X3_ADD1;"4.3.1.0"
IfcDistributionBoard;IfcDistributionBoardType;IFC4X3_ADD1;"4.3.1.0"
IfcSpatialStructureElement;IfcSpatialStructureElementType;IFC4;"4.0.2.1"
IfcDamper;IfcDamperType;IFC4X3_ADD1;"4.3.1.0"
IfcDiscreteAccessory;IfcDiscreteAccessoryType;IFC4X3_ADD1;"4.3.1.0"
IfcDistributionChamberElement;IfcDistributionChamberElementType;IFC4X3_ADD1;"4.3.1.0"
IfcDistributionControlElement;IfcDistributionControlElementType;IFC4X3_ADD1;"4.3.1.0"
IfcEvaporativeCooler;IfcEvaporativeCoolerType;IFC4;"4.0.2.1"
IfcFlowController;IfcFlowControllerType;IFC4;"4.0.2.1"
IfcDistributionFlowElement;IfcDistributionFlowElementType;IFC4X3_ADD1;"4.3.1.0"
IfcDoor;IfcDoorType;IFC4X3_ADD1;"4.3.1.0"
IfcDuctFitting;IfcDuctFittingType;IFC4X3_ADD1;"4.3.1.0"
IfcDuctSegment;IfcDuctSegmentType;IFC4X3_ADD1;"4.3.1.0"
IfcDuctSilencer;IfcDuctSilencerType;IFC4X3_ADD1;"4.3.1.0"
IfcVibrationIsolator;IfcVibrationIsolatorType;IFC4;"4.0.2.1"
IfcDistributionBoard/NOTDEFINED;IfcDistributionBoardType/NOTDEFINED;IFC4X3_ADD1;"4.3.1.0"
IfcCableCarrierFitting/CROSS;IfcCableCarrierFittingType/CROSS;IFC4;"4.0.2.1"
IfcElectricFlowTreatmentDevice;IfcElectricFlowTreatmentDeviceType;IFC4X3_ADD1;"4.3.1.0"
IfcElectricDistributionBoard;IfcElectricDistributionBoardType;IFC4X3_ADD1;"4.3.1.0"
IfcElectricFlowStorageDevice;IfcElectricFlowStorageDeviceType;IFC4X3_ADD1;"4.3.1.0"
IfcElectricGenerator;IfcElectricGeneratorType;IFC4X3_ADD1;"4.3.1.0"
IfcElectricTimeControl;IfcElectricTimeControlType;IFC4X3_ADD1;"4.3.1.0"
IfcElement;IfcElementType;IFC4X3_ADD1;"4.3.1.0"
IfcElementAssembly;IfcElementAssemblyType;IFC4X3_ADD1;"4.3.1.0"
IfcElementComponent;IfcElementComponentType;IFC4X3_ADD1;"4.3.1.0"
IfcEnergyConversionDevice;IfcEnergyConversionDeviceType;IFC4X3_ADD1;"4.3.1.0"
IfcEvent;IfcEventType;IFC4X3_ADD1;"4.3.1.0"
IfcFastener;IfcFastenerType;IFC4X3_ADD1;"4.3.1.0"
IfcFilter;IfcFilterType;IFC4X3_ADD1;"4.3.1.0"
IfcFireSuppressionTerminal;IfcFireSuppressionTerminalType;IFC4X3_ADD1;"4.3.1.0"
IfcFlowController;IfcFlowControllerType;IFC4X3_ADD1;"4.3.1.0"
IfcFlowFitting;IfcFlowFittingType;IFC4X3_ADD1;"4.3.1.0"
IfcFlowInstrument;IfcFlowInstrumentType;IFC4X3_ADD1;"4.3.1.0"
IfcFlowMovingDevice;IfcFlowMovingDeviceType;IFC4X3_ADD1;"4.3.1.0"
IfcFlowSegment;IfcFlowSegmentType;IFC4X3_ADD1;"4.3.1.0"
IfcFooting;IfcFootingType;IFC4X3_ADD1;"4.3.1.0"
IfcFurnishingElement;IfcFurnishingElementType;IFC4X3_ADD1;"4.3.1.0"
IfcFurniture;IfcFurnitureType;IFC4X3_ADD1;"4.3.1.0"
IfcActuator/PNEUMATICACTUATOR;IfcActuatorType/PNEUMATICACTUATOR;IFC4X3_ADD1;"4.3.1.0"
IfcHeatExchanger;IfcHeatExchangerType;IFC4X3_ADD1;"4.3.1.0"
IfcCommunicationsAppliance/PRINTER;IfcCommunicationsApplianceType/PRINTER;IFC4;"4.0.2.1"
IfcActuator/THERMOSTATICACTUATOR;IfcActuatorType/THERMOSTATICACTUATOR;IFC4X3_ADD1;"4.3.1.0"
IfcImpactProtectionDevice;IfcImpactProtectionDeviceType;IFC4X3_ADD1;"4.3.1.0"
IfcInterceptor;IfcInterceptorType;IFC4X3_ADD1;"4.3.1.0"
